variant,attack,trials,successes,message_success,symbol_accuracy,minimum_symbol_accuracy
attack_aware_qualified,blur_0.8,10,10,1.0,1.0,1.0
attack_aware_qualified,blur_1.2_holdout,10,10,1.0,1.0,1.0
attack_aware_qualified,blur_1.5,10,10,1.0,1.0,1.0
attack_aware_qualified,blur_1.8_holdout,10,10,1.0,0.9836206896551725,0.9798850574712644
attack_aware_qualified,clean,10,10,1.0,1.0,1.0
attack_aware_qualified,crop_05,10,10,1.0,1.0,1.0
attack_aware_qualified,crop_08_holdout,10,10,1.0,0.9971264367816092,0.9971264367816092
attack_aware_qualified,crop_10,10,10,1.0,1.0,1.0
attack_aware_qualified,crop_12_holdout,10,10,1.0,0.8870689655172415,0.8764367816091954
attack_aware_qualified,gaussian_12,10,10,1.0,1.0,1.0
attack_aware_qualified,gaussian_15_holdout,10,10,1.0,0.9974137931034482,0.9942528735632183
attack_aware_qualified,gaussian_5,10,10,1.0,1.0,1.0
attack_aware_qualified,gaussian_9_holdout,10,10,1.0,1.0,1.0
attack_aware_qualified,jpeg_50,10,10,1.0,1.0,1.0
attack_aware_qualified,jpeg_80,10,10,1.0,1.0,1.0
attack_aware_qualified,resize_050,10,10,1.0,1.0,1.0
attack_aware_qualified,resize_075,10,10,1.0,1.0,1.0
attack_aware_qualified,rotate_3,10,10,1.0,1.0,1.0
attack_aware_qualified,rotate_5_holdout,10,10,1.0,1.0,1.0
attack_aware_qualified,rotate_7,10,10,1.0,1.0,1.0
attack_aware_qualified,rotate_9_holdout,10,10,1.0,0.974712643678161,0.9683908045977011
pc1_no_qualification,blur_0.8,10,10,1.0,0.950287356321839,0.9454022988505747
pc1_no_qualification,blur_1.2_holdout,10,10,1.0,0.9043103448275861,0.896551724137931
pc1_no_qualification,blur_1.5,10,10,1.0,0.8718390804597702,0.8591954022988506
pc1_no_qualification,blur_1.8_holdout,10,10,1.0,0.8468390804597702,0.8362068965517241
pc1_no_qualification,clean,10,10,1.0,1.0,1.0
pc1_no_qualification,crop_05,10,0,0.0,0.6272988505747127,0.6149425287356322
pc1_no_qualification,crop_08_holdout,10,0,0.0,0.5241379310344827,0.5114942528735632
pc1_no_qualification,crop_10,10,0,0.0,0.4304597701149425,0.41954022988505746
pc1_no_qualification,crop_12_holdout,10,0,0.0,0.3807471264367816,0.3649425287356322
pc1_no_qualification,gaussian_12,10,10,1.0,0.9261494252873563,0.9166666666666666
pc1_no_qualification,gaussian_15_holdout,10,10,1.0,0.9258620689655173,0.9109195402298851
pc1_no_qualification,gaussian_5,10,10,1.0,0.9295977011494253,0.9166666666666666
pc1_no_qualification,gaussian_9_holdout,10,10,1.0,0.925287356321839,0.9166666666666666
pc1_no_qualification,jpeg_50,10,10,1.0,0.9933908045977011,0.9885057471264368
pc1_no_qualification,jpeg_80,10,10,1.0,0.9994252873563217,0.9971264367816092
pc1_no_qualification,resize_050,10,10,1.0,0.9364942528735632,0.9310344827586207
pc1_no_qualification,resize_075,10,10,1.0,0.9586206896551724,0.9540229885057471
pc1_no_qualification,rotate_3,10,10,1.0,0.8867816091954023,0.8793103448275862
pc1_no_qualification,rotate_5_holdout,10,2,0.2,0.7879310344827586,0.7758620689655172
pc1_no_qualification,rotate_7,10,0,0.0,0.7192528735632184,0.7011494252873564
pc1_no_qualification,rotate_9_holdout,10,0,0.0,0.6663793103448276,0.6551724137931034
